-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.07%       2.502ms        99.82%        3.457s        3.457s       0.000us         0.00%        1.419s        1.419s             1  
                                           aten::conv2d         0.00%      63.000us        99.56%        3.448s     689.575ms       0.000us         0.00%        1.401s     280.262ms             5  
                                      aten::convolution         0.00%     143.000us        99.55%        3.448s     689.563ms       0.000us         0.00%        1.401s     280.262ms             5  
                                     aten::_convolution         0.01%     213.000us        99.55%        3.448s     689.534ms       0.000us         0.00%        1.401s     280.262ms             5  
                                aten::cudnn_convolution        67.66%        2.343s        99.53%        3.447s     689.418ms        1.395s        98.34%        1.395s     279.009ms             5  
void implicit_convolve_sgemm<__half, __half, 128, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us     383.746ms        27.05%     383.746ms      47.968ms             8  
void explicit_convolve_sgemm<__half, int, 128, 6, 7,...         0.00%       0.000us         0.00%       0.000us       0.000us     204.841ms        14.44%     204.841ms      51.210ms             4  
void implicit_convolve_sgemm<__half, __half, 1024, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     133.025ms         9.38%     133.025ms      66.513ms             2  
         volta_fp16_scudnn_fp16_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     115.607ms         8.15%     115.607ms      28.902ms             4  
                                  volta_gcgemm_64x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     107.800ms         7.60%     107.800ms      26.950ms             4  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us      71.266ms         5.02%      71.266ms      23.755ms             3  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      64.152ms         4.52%      64.152ms       8.019ms             8  
volta_fp16_scudnn_fp16_128x64_relu_xregs_large_nn_v1...         0.00%       0.000us         0.00%       0.000us       0.000us      41.345ms         2.91%      41.345ms      20.672ms             2  
                                  volta_gcgemm_64x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us      35.484ms         2.50%      35.484ms       8.871ms             4  
void explicit_convolve_sgemm<__half, int, 1024, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      29.537ms         2.08%      29.537ms      29.537ms             1  
void cudnn::cnn::im2col4d_kernel<__half, long>(cudnn...         0.00%       0.000us         0.00%       0.000us       0.000us      28.152ms         1.98%      28.152ms       5.630ms             5  
sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16...         0.00%       0.000us         0.00%       0.000us       0.000us      27.222ms         1.92%      27.222ms      27.222ms             1  
